,title,price
247,Laiqa: Berapa Jarak antara Luka dan Rumahmu?,Rp 72.000
248,Ziarah (Pilgrimage),Rp 60.000
249,Keberangkatan,Rp 71.200
250,Jingga Untuk Sandyakala - Part 1,Rp 91.200
251,Sejenak Menepi Menata Hati,Rp 79.200
252,Si Buku Bengis Kecil#3: Sekarang Waktumu!,Rp 95.200
253,Madar,Rp 88.000
254,Rahasia Sang Nona,Rp 84.000
255,Saat Untuk Membunuh (A Time to Kill),Rp 151.200
256,Gadis Kretek,Rp 60.000
257,The Girl who Fell Beneath the Sea,Rp 92.000
258,Enola Holmes Dan Kereta Kuda Hitam,Rp 63.200
259,Joyvika-Serpihan Masa Lalu,Rp 79.200
260,Gerbang Dua Semesta,Rp 135.000
261,Kami (Bukan) Sarjana Kertas,Rp 95.200
262,Rumah Untuk Alie,Rp 89.100
263,Oi Abang Oi,Rp 99.000
264,Captivated Me,Rp 89.100
265,Alaia New Edition,Rp 99.000
266,"Jeffrey, Disa & Persib Bandung",Rp 85.500
267,Under Baswara`s Feet,Rp 76.000
268,Eccedentesiast Happy Version,Rp 89.100
269,Sword Art Online 006 Phantom Bullet,Rp 92.000
270,Strange Marriage,Rp 89.100
271,Mangata Arga Dan Semestanya,Rp 76.800
272,Pasutri Gaje,Rp 80.000
273,As Sweet As Nasa,Rp 78.400
274,Creepy Case Club 5: Kasus Jendela Siluman 2024,Rp 52.000
275,Creepy Case Club 2: Kasus Si Anak Indigo 2024,Rp 52.000
276,Creepy Case Club 3: Kasus Kutukan Congklak 2024,Rp 52.000
277,Creepy Case Club 4: Kasus Pohon Pemanggil 2024,Rp 52.000
278,The School For Good And Evil 6: Raja Sejati,Rp 215.000
279,"Hold On, It Hurts Happy Version",Rp 89.100
280,Customer Sharelove,Rp 89.000
281,Sepotong Kisah di Balik 98: Cerita Pilihan Erisca Febriani,Rp 107.100
282,Memulasarakan,Rp 40.000
283,Jatisaba (Cover 2024),Rp 79.200
284,Creepy Case Club 1: Kasus Nyanyian Berhantu,Rp 52.000
285,5 cm (Edisi 2024),Rp 135.200
286,5 cm. (Cover 2024),Rp 103.200
287,Bu Tidak Ada Teman Menangis Malam Ini,Rp 69.600
288,Dune: Bagian 2,Rp 103.200
289,Stories for Rainy Days Volume 2,Rp 108.000
290,Rasina,Rp 135.200
291,Semua Ikan di Langit (Edisi Revisi),Rp 54.500
292,Novel Mengapa Luka Tidak Memaafkan Pisau,Rp 79.200
293,Classics: Kisah Dokter Doliitle (The Story Of Doctor Dolittle),Rp 34.300
294,Frankly In Love,Rp 49.500
295,English Classics: Sherlock Holmes Short Stories#3,Rp 38.400
296,Nadira,Rp 88.000
297,Dan Hujan Pun Berhenti (Ganti Cover),Rp 70.400
298,Giselle,Rp 116.100
299,Danzelara,Rp 89.100
300,After Married,Rp 89.100
301,Cinta Paling Rumit,Rp 95.200
302,Hierofani,Rp 68.000
303,Sepotong Kisah di Balik 98: Cerita Pilihan Dee Lestari,Rp 89.100
304,English Classics: The Wonderful Wizard of Oz,Rp 39.200
305,"Hi, Goodbye",Rp 85.500
306,Pemeran Utama,Rp 99.000
307,Rintik Terakhir,Rp 89.100
308,Hangmans Holiday,Rp 76.500
309,Romeo dan Juliet : Sebuah Tragedi Cinta,Rp 62.550
310,Laut Pasang 2,Rp 89.100
311,Sky Academy,Rp 98.100
312,You Belong To Me,Rp 89.100
313,Jadi Ibu,Rp 89.550
314,Laila Tak Pulang,Rp 72.250
315,The Door To Door Bookstore,Rp 84.150
316,Preambule : Matoshi Family,Rp 99.000
317,Stuck With You,Rp 80.550
318,Slow Motion,Rp 89.100
319,Our Home,Rp 84.150
320,"Hi, Goodbye",Rp 85.500
321,Pemeran Utama,Rp 99.000
322,Rintik Terakhir,Rp 89.100
323,Hangmans Holiday,Rp 76.500
324,Romeo dan Juliet : Sebuah Tragedi Cinta,Rp 62.550
325,Laut Pasang 2,Rp 89.100
326,Sky Academy,Rp 98.100
327,You Belong To Me,Rp 89.100
328,Jadi Ibu,Rp 89.550
329,Laila Tak Pulang,Rp 72.250
330,The Door To Door Bookstore,Rp 84.150
331,Preambule : Matoshi Family,Rp 99.000
332,Stuck With You,Rp 80.550
333,Slow Motion,Rp 89.100
334,Our Home,Rp 84.150
335,Alvaska 2,Rp 89.100
336,4 Masa 1 Mimpi,Rp 85.050
337,A Dog Called Money,Rp 71.100
338,The Most Beautiful Little Secret,Rp 94.500
339,Kemah Terlarang,Rp 69.300
340,Gamon!: Gagal Move On!,Rp 88.200
341,Hilmy Milan (New Edition),Rp 89.100
342,Castevel,Rp 89.550
343,Pengulangan Dosa,Rp 77.000
344,5Th Of December,Rp 89.100
345,Infinity Love,Rp 89.100
346,Dream Book,Rp 89.910
347,Hidden You,Rp 89.910
348,Keluarga Jamaludin,Rp 89.910
349,Wahai Azarine,Rp 89.100
350,Metamorfosa,Rp 95.000
351,Di Balik Daun Bertepi Lima,Rp 80.550
352,Ngunduh Jiwo,Rp 77.000
353,Mengeja Luka,Rp 77.000
354,Monologue,Rp 79.000
355,Albiandra The Untold Story,Rp 89.100
356,Astaradika,Rp 89.100
357,Kita Butuh Kapasitas Semesta,Rp 89.550
358,Merayakan Kesedihan,Rp 79.000
359,Thallashopile,Rp 84.150
360,Yang Telah Lama Pergi,Rp 94.500
361,Strawberry Cloud,Rp 89.100
362,A Piece Of Tales (A Tale Of Love),Rp 89.100
363,Shagara Dirga,Rp 89.100
364,December With You,Rp 89.550
365,Naverra dan Juru Diet,Rp 99.000
366,Tiap Luka Mengubahmu,Rp 62.550
367,Arzel,Rp 89.100
368,Jika Lukamu Sedalam Laut : Ikhlasmu Harus Seluas Langit,Rp 60.300
369,More Than Home Bucinable 2,Rp 99.000
370,Senja di Alaska,Rp 79.200
371,Clover,Rp 75.650
372,Anne of Avonlea,Rp 80.100
373,Sincerpity,Rp 98.100
374,Sherlock Holmes : Lembah Ketakutan,Rp 62.550
375,If We Make It Through December,Rp 99.000
376,Ayahku (Bukan) Pembohong,Rp 85.500
377,"We Call it, Home (Private Bodyguard 2)",Rp 89.100
378,Dallergut 2 : Toko Penjual Mimpi,Rp 80.750
379,Galaksi Kejora,Rp 89.100
380,Sunyi Paling Riuh,Rp 89.100
381,Alegori,Rp 67.500
382,Romansa Kota Bandung,Rp 89.100
383,Kumpulan Kisah Hantu & Legenda Horor Korea,Rp 53.550
384,Sherlock Holmes Anjing Iblis Dari Baskervilles,Rp 79.650
385,Heaven,Rp 89.100
386,Si Anak Savana,Rp 85.500
387,Angkasa,Rp 89.100
388,Retak,Rp 85.500
389,1984 - Republish.,Rp 98.100
390,Muhammad Al-Fatih # 3 : Penaklukan,Rp 110.000
391,Selena,Rp 94.500
392,Matahari,Rp 105.000
393,Sagaras,Rp 94.500
394,Novel Dilan 2:Dia Adalah Dilanku Tahun 1991,Rp 80.100
395,Risol Mas Marvel,Rp 89.100
396,REVISWEET,Rp 109.000
397,Kesendirian Mahaluas (The Great Alone),Rp 151.200
398,The Black Cat And Other Stories,Rp 80.100
399,Surat untuk Kinasih (Special Order),Rp 68.000
400,Galaksi Kejora,Rp 89.100
401,Sunyi Paling Riuh,Rp 89.100
402,Alegori,Rp 67.500
403,Romansa Kota Bandung,Rp 89.100
404,Kumpulan Kisah Hantu & Legenda Horor Korea,Rp 53.550
405,Sherlock Holmes Anjing Iblis Dari Baskervilles,Rp 79.650
406,Heaven,Rp 89.100
407,Si Anak Savana,Rp 85.500
408,The Camarro,Rp 89.550
409,Angkasa,Rp 89.100
410,Retak,Rp 85.500
411,1984 - Republish.,Rp 98.100
412,Milea Suara Dari Dilan,Rp 89.000
413,Muhammad Al-Fatih # 3 : Penaklukan,Rp 110.000
414,Namaku Alam,Rp 96.000
415,Selena,Rp 94.500
416,Matahari,Rp 105.000
417,Sagaras,Rp 94.500
418,Novel Dilan 2:Dia Adalah Dilanku Tahun 1991,Rp 80.100
419,Risol Mas Marvel,Rp 89.100
420,CERITA SINGKAT YANG DIBERI UMUR PANJANG OLEH INGATAN,Rp 62.100
421,CLUMSY SISI,Rp 84.150
422,IF DYING WAS A BEAUTIFUL THING,Rp 85.500
423,TeenLit: Fairish (Edisi Cover Spesial HUT GPU 50 Tahun),Rp 71.200
424,"Lupus: Tangkaplah Daku, Kau Kujitak! (Edisi Cover Spesial HUT GPU 50 Tahun)",Rp 55.200
425,ATLAS,Rp 89.100
426,Kota Para Pecundang,Rp 89.100
427,Jagat Alam Gaib : Sinden Gaib,Rp 69.300
428,Gionaya,Rp 89.100
429,Alster Lake (New Edition),Rp 103.500
430,Gara-Gara Abang,Rp 89.100
431,The Journey Of Storytelling,Rp 71.550
432,Jij Bent Mooi,Rp 107.100
433,We Shouldnt Be Like This,Rp 89.100
434,Perfect Partner,Rp 110.000
435,Papah Bumi Dan Bumi,Rp 99.000
436,Staring at You,Rp 89.100
437,Darren Margantara,Rp 98.100
438,Gloomy Sunday,Rp 59.400
439,You Had Me At Hello,Rp 89.100
440,Wuthering Heights,Rp 89.550
441,Hello Globantara,Rp 84.150
442,BUNGO STRAY DOGS 5 - BEAST,Rp 86.400
443,MIDNIGHT IN DECEMBER,Rp 99.000
444,MAYAT PEREMPUAN DI DANAU,Rp 85.000
445,SEPOTONG COKLAT UNTUK TUHAN : NEW COVER,Rp 31.500
446,DIA RAZI,Rp 85.500
447,Not For It Folks,Rp 74.400
448,Sentuhan Emas,Rp 84.000
449,PENEBUSAN,Rp 63.750
450,DANUSAN IM IN LOVE,Rp 89.100
451,English Classics: Black Beauty,Rp 27.500
452,HOROR KAMPUS,Rp 57.375
453,WAYAHE NGOPI 3,Rp 67.500
454,HE`S MY BOYFRIEND,Rp 89.100
455,Ther Melian: Renascent,Rp 105.000
456,City Lite: My Younger Brother,Rp 88.000
457,Midnight Prince,Rp 64.000
458,The Night Mark,Rp 88.000
459,Pergi Dan Kembali (Ferryman),Rp 99.000
460,Perang Penghabisan (The Chaos Walking #3: Monsters of Men),Rp 205.000
461,Like A Momentary Ray Between Clouds,Rp 57.400
462,The Yearling,Rp 67.900
463,Metropop: Jakarta Rock 'N' Roll,Rp 47.600
464,Gong Nyai Gandrung,Rp 70.000
465,Kitab Kencan,Rp 84.000
466,Relung Rasa Raisa,Rp 55.300
467,Dora Bruder,Rp 47.600
468,Kumpulan Kisah Terbaik Miss Marple (The Best Of Miss Marple),Rp 112.000
469,Perempuan-Perempuan Kelu (The Silence of the Girls),Rp 83.300
470,One of Us is Lying : Satu Pembohong,Rp 74.900
471,Novel Mawar Tak Berduri (Sad Cypress),Rp 63.200
472,Malam Tanpa Akhir (Endless Night),Rp 69.000
473,English Classics: The Happy Prince and Other Tales,Rp 39.200
474,Tiga Putri Anuspati,Rp 89.100
475,The Hidden Reality,Rp 89.100
476,Pengetahuan Baru Umat Manusia,Rp 60.000
477,Frankenstein,Rp 71.550
478,Percayalah Ada Harapan Untuk Kita,Rp 85.000
479,Act Of Money,Rp 84.150
480,The Happiness Inside The Box,Rp 35.550
481,Getting Closer,Rp 80.100
482,My Youth New Edition,Rp 110.000
483,1984,Rp 71.550
484,Hanna & Syaugi,Rp 63.000
485,Jangan Cuek!,Rp 98.100
486,Asavella,Rp 103.500
487,Kale Dan Erina,Rp 89.100
488,1.080 Vian,Rp 89.100
489,Ravendra,Rp 84.150
490,The Glory Story Of Two Umars,Rp 85.500
491,"Unmong,A Youngman Became A Homemaker",Rp 89.250
492,Horor Tanah Jawa,Rp 59.075
493,Pasien,Rp 63.750
494,Mahajana,Rp 89.100
495,Fingerprint,Rp 62.100
496,The Sea Explorers and The Giant Octopus,Rp 97.200
497,Cake Shop (Extended Version),Rp 89.100
498,Asya Story Spesial Edition,Rp 84.150
499,Konstelasi Emosi,Rp 125.100
500,Malam Tanpa Akhir (Endless Night),Rp 69.000
501,English Classics: The Happy Prince and Other Tales,Rp 39.200
502,Tiga Putri Anuspati,Rp 89.100
503,The Hidden Reality,Rp 89.100
504,Pengetahuan Baru Umat Manusia,Rp 60.000
505,Frankenstein,Rp 71.550
506,Percayalah Ada Harapan Untuk Kita,Rp 85.000
507,Act Of Money,Rp 84.150
508,The Happiness Inside The Box,Rp 35.550
509,Getting Closer,Rp 80.100
510,My Youth New Edition,Rp 110.000
511,1984,Rp 71.550
512,Hanna & Syaugi,Rp 63.000
513,Jangan Cuek!,Rp 98.100
514,Asavella,Rp 103.500
515,Kale Dan Erina,Rp 89.100
516,1.080 Vian,Rp 89.100
517,Ravendra,Rp 84.150
518,The Glory Story Of Two Umars,Rp 85.500
519,"Unmong,A Youngman Became A Homemaker",Rp 89.250
520,5 Cm Deluxe Edition,Rp 196.000
521,Bungo Stray Dogs 4,Rp 78.400
522,Second Hope,Rp 79.200
523,Heaven,Rp 63.200
524,Out of the Blueprint,Rp 70.400
525,Unperfect Marriage,Rp 76.000
526,Dallergut : Toko Penjual Mimpi,Rp 72.250
527,Sherlock Holmes : Teka Teki Empat Pemburu Harta Karun,Rp 59.850
528,The Antagonists Secret,Rp 89.100
529,Amberley,Rp 89.550
530,Selanjutnya Kita Tahu Apa Yang Terjadi Dalam Adegan Di Film itu,Rp 45.000
531,Face Claim,Rp 107.100
532,Capital Letters,Rp 89.550
533,Macbeth Keadilan Itu Busuk Dan Kebusukan Itu Adil (2023),Rp 54.000
534,Nyonya Dalloway,Rp 88.500
535,Marveluna,Rp 99.000
536,Perhitungan Aneh Di Penginapan (Kumpulan Cerita Pendek Johann,Rp 45.000
537,Arga Bad Senior (New Cover),Rp 89.100
538,Kontrakan Nyai Suman,Rp 89.100
539,Mengapa Ada Sedih Di Bumi?,Rp 75.000
540,"Seri Aku Cinta Allah, Aku Cinta Islam",Rp 40.500
541,Surat untuk Bapak,Rp 49.300
542,Petualangan Alice Di Negeri Ajaib,Rp 50.000
543,Alice Menembus Cermin,Rp 53.550
544,Ganeeta,Rp 103.500
545,Atharrazka,Rp 84.150
546,Aksaranita,Rp 89.100
547,Sang Dewi Iblis,Rp 76.500
548,Kematian Halpin Frasyser,Rp 54.000
549,Tuan Besar Gatsby,Rp 71.550
550,Potrait,Rp 109.900
551,Manusia Tak Kasatmata,Rp 69.500
552,Metamorfosis : Sebuah Novel,Rp 50.000
553,Gravitasi Matahari,Rp 93.500
554,"Seri Aku Cinta Allah, Aku Cinta Al Quran",Rp 40.500
555,Cahaya Suci,Rp 89.100
556,Romansa Hari Libur,Rp 45.000
557,Perempuan-Perempuan Chairil dan Kisah-Kisah Drama Lainnya,Rp 90.000
558,"The Boy, the Mole, the Fox and the Horse",Rp 245.000
